evento_id,venta_id,producto_id,cliente_id,categoria,metodo_pago,ciudad,cantidad,total,riesgo_fraude,timestamp_evento
EVT-000026,VEN-0000648,PROD-00147,CLI-008544,Tecnologia,tarjeta,Arequipa,1,3939.05,0.82,2026-05-13 16:33:09
EVT-000027,VEN-0025609,PROD-00018,CLI-006827,Electronica,yape,Trujillo,4,7683.62,0.82,2026-05-13 16:33:09
EVT-000028,VEN-0031205,PROD-00004,CLI-003145,Tecnologia,plin,Cusco,2,5515.21,0.88,2026-05-13 16:33:09
EVT-000029,VEN-0001932,PROD-00042,CLI-004666,Deportes,tarjeta,Cusco,3,13485.27,0.86,2026-05-13 16:33:09
EVT-000030,VEN-0017898,PROD-00002,CLI-003726,Tecnologia,yape,Cusco,5,13810.41,0.71,2026-05-13 16:33:09
EVT-000031,VEN-0038129,PROD-00434,CLI-003499,Deportes,plin,Lima,5,10698.62,0.83,2026-05-13 16:33:09
EVT-000032,VEN-0038938,PROD-00273,CLI-001915,Hogar,yape,Lima,5,12430.04,0.93,2026-05-13 16:33:09
EVT-000033,VEN-0022557,PROD-00438,CLI-000354,Tecnologia,plin,Cusco,3,3266.28,0.89,2026-05-13 16:33:09
EVT-000034,VEN-0007818,PROD-00115,CLI-000658,Tecnologia,plin,Arequipa,2,415.59,0.16,2026-05-13 16:33:10
EVT-000035,VEN-0049829,PROD-00184,CLI-006314,Deportes,efectivo,Lima,1,4097.11,0.66,2026-05-13 16:33:10
EVT-000036,VEN-0020211,PROD-00409,CLI-008052,Deportes,efectivo,Piura,1,1826.91,0.29,2026-05-13 16:33:10
EVT-000037,VEN-0041747,PROD-00154,CLI-000831,Deportes,plin,Cusco,1,749.32,0.34,2026-05-13 16:33:10
EVT-000038,VEN-0036020,PROD-00349,CLI-006702,Electronica,efectivo,Arequipa,5,9929.01,0.95,2026-05-13 16:33:10
EVT-000039,VEN-0011362,PROD-00491,CLI-009924,Deportes,tarjeta,Trujillo,3,10883.71,0.91,2026-05-13 16:33:10
EVT-000040,VEN-0009102,PROD-00411,CLI-002363,Hogar,tarjeta,Piura,3,8030.55,0.77,2026-05-13 16:33:10
EVT-000041,VEN-0026012,PROD-00493,CLI-000648,Electronica,tarjeta,Trujillo,4,13616.66,0.62,2026-05-13 16:33:10
EVT-000042,VEN-0027780,PROD-00325,CLI-005340,Electronica,tarjeta,Piura,5,12463.04,0.9,2026-05-13 16:33:10
EVT-000043,VEN-0005689,PROD-00247,CLI-002833,Tecnologia,tarjeta,Piura,1,2346.94,0.51,2026-05-13 16:33:10
EVT-000044,VEN-0042010,PROD-00253,CLI-000461,Deportes,plin,Arequipa,3,2100.2,0.5,2026-05-13 16:33:11
EVT-000045,VEN-0037164,PROD-00318,CLI-002435,Tecnologia,plin,Trujillo,5,439.41,0.08,2026-05-13 16:33:11
EVT-000046,VEN-0002157,PROD-00161,CLI-006191,Tecnologia,efectivo,Cusco,5,4906.91,0.61,2026-05-13 16:33:11
EVT-000047,VEN-0021451,PROD-00329,CLI-001450,Deportes,yape,Arequipa,4,7943.53,0.71,2026-05-13 16:33:11
EVT-000048,VEN-0049963,PROD-00165,CLI-003026,Electronica,tarjeta,Piura,4,2475.15,0.55,2026-05-13 16:33:11
EVT-000049,VEN-0046916,PROD-00128,CLI-007841,Hogar,tarjeta,Lima,3,8910.58,0.62,2026-05-13 16:33:11
EVT-000050,VEN-0046906,PROD-00156,CLI-006051,Tecnologia,tarjeta,Trujillo,2,6797.67,0.75,2026-05-13 16:33:11
EVT-000051,VEN-0039380,PROD-00006,CLI-007140,Deportes,plin,Lima,4,14792.03,0.83,2026-05-13 16:33:11
EVT-000052,VEN-0025388,PROD-00016,CLI-008359,Tecnologia,plin,Arequipa,5,7262.43,0.69,2026-05-13 16:33:11
EVT-000053,VEN-0010016,PROD-00411,CLI-006895,Hogar,yape,Lima,1,2754.66,0.47,2026-05-13 16:33:11
EVT-000054,VEN-0037705,PROD-00059,CLI-002019,Tecnologia,plin,Cusco,5,3158.59,0.8,2026-05-13 16:33:12
EVT-000055,VEN-0006861,PROD-00282,CLI-006105,Hogar,efectivo,Piura,1,3179.07,0.66,2026-05-13 16:33:12
EVT-000056,VEN-0002700,PROD-00488,CLI-009002,Deportes,tarjeta,Cusco,1,1374.37,0.25,2026-05-13 16:33:12
EVT-000057,VEN-0041829,PROD-00332,CLI-009915,Ropa,yape,Trujillo,4,1693.7,0.42,2026-05-13 16:33:12
EVT-000058,VEN-0041597,PROD-00125,CLI-002646,Ropa,tarjeta,Arequipa,3,7913.98,0.63,2026-05-13 16:33:12
EVT-000059,VEN-0000738,PROD-00122,CLI-000415,Deportes,tarjeta,Arequipa,1,4279.61,0.82,2026-05-13 16:33:12
EVT-000060,VEN-0005392,PROD-00079,CLI-009287,Hogar,tarjeta,Lima,4,9488.88,0.92,2026-05-13 16:33:12
EVT-000061,VEN-0034535,PROD-00208,CLI-001892,Tecnologia,plin,Arequipa,4,8902.25,0.81,2026-05-13 16:33:12
EVT-000062,VEN-0021428,PROD-00346,CLI-001957,Ropa,tarjeta,Arequipa,2,2190.25,0.38,2026-05-13 16:33:12
EVT-000063,VEN-0008314,PROD-00012,CLI-000932,Ropa,plin,Cusco,5,18718.88,0.74,2026-05-13 16:33:13
EVT-000064,VEN-0027083,PROD-00476,CLI-008978,Tecnologia,plin,Piura,2,5259.01,0.7,2026-05-13 16:33:13
EVT-000065,VEN-0012038,PROD-00330,CLI-001544,Hogar,efectivo,Trujillo,5,4919.32,0.74,2026-05-13 16:33:13
EVT-000066,VEN-0044177,PROD-00154,CLI-004806,Deportes,yape,Piura,1,702.13,0.38,2026-05-13 16:33:13
EVT-000067,VEN-0014055,PROD-00400,CLI-000747,Deportes,efectivo,Piura,1,3134.45,0.77,2026-05-13 16:33:13
EVT-000068,VEN-0048468,PROD-00364,CLI-003281,Tecnologia,yape,Piura,1,108.43,0.14,2026-05-13 16:33:13
EVT-000069,VEN-0003454,PROD-00087,CLI-007574,Deportes,yape,Lima,3,3756.9,0.67,2026-05-13 16:33:13
EVT-000070,VEN-0016854,PROD-00262,CLI-000969,Ropa,yape,Lima,2,1227.8,0.51,2026-05-13 16:33:13
EVT-000071,VEN-0048933,PROD-00007,CLI-006373,Deportes,efectivo,Arequipa,1,1103.73,0.27,2026-05-13 16:33:13
EVT-000072,VEN-0009526,PROD-00156,CLI-008644,Tecnologia,efectivo,Trujillo,4,13475.14,0.84,2026-05-13 16:33:13
EVT-000073,VEN-0007047,PROD-00462,CLI-006931,Deportes,plin,Lima,3,9606.68,0.86,2026-05-13 16:33:14
EVT-000074,VEN-0027723,PROD-00218,CLI-007179,Hogar,tarjeta,Lima,5,17515.98,0.91,2026-05-13 16:33:14
EVT-000075,VEN-0006294,PROD-00207,CLI-004256,Deportes,tarjeta,Trujillo,3,13194.87,0.93,2026-05-13 16:33:14
EVT-000076,VEN-0001918,PROD-00069,CLI-006260,Ropa,yape,Arequipa,4,12210.59,0.65,2026-05-13 16:33:14
EVT-000077,VEN-0013115,PROD-00174,CLI-003592,Electronica,efectivo,Piura,1,872.42,0.28,2026-05-13 16:33:14
EVT-000078,VEN-0022442,PROD-00051,CLI-003233,Tecnologia,yape,Cusco,5,12178.05,0.85,2026-05-13 16:33:14
EVT-000079,VEN-0009090,PROD-00245,CLI-002987,Tecnologia,efectivo,Lima,1,3797.4,0.86,2026-05-13 16:33:14
EVT-000080,VEN-0021109,PROD-00033,CLI-000140,Tecnologia,tarjeta,Lima,4,12279.18,0.72,2026-05-13 16:33:14
EVT-000081,VEN-0002586,PROD-00204,CLI-001668,Deportes,plin,Trujillo,4,7802.95,0.72,2026-05-13 16:33:14
EVT-000082,VEN-0001391,PROD-00166,CLI-004324,Ropa,efectivo,Piura,4,10508.5,0.64,2026-05-13 16:33:14
EVT-000083,VEN-0034579,PROD-00322,CLI-001145,Ropa,plin,Arequipa,3,3509.69,0.77,2026-05-13 16:33:15
EVT-000084,VEN-0005135,PROD-00248,CLI-003960,Electronica,tarjeta,Lima,3,12562.85,0.91,2026-05-13 16:33:15
EVT-000085,VEN-0002251,PROD-00294,CLI-001226,Deportes,tarjeta,Arequipa,2,5953.28,0.69,2026-05-13 16:33:15
EVT-000086,VEN-0005341,PROD-00457,CLI-007013,Hogar,efectivo,Cusco,5,144.97,0.08,2026-05-13 16:33:15
EVT-000087,VEN-0024527,PROD-00425,CLI-003662,Electronica,yape,Arequipa,4,11655.54,0.73,2026-05-13 16:33:15
EVT-000088,VEN-0004294,PROD-00184,CLI-008908,Deportes,tarjeta,Trujillo,1,4373.18,0.88,2026-05-13 16:33:15
EVT-000089,VEN-0017933,PROD-00309,CLI-001776,Electronica,yape,Trujillo,4,13432.16,0.66,2026-05-13 16:33:15
EVT-000090,VEN-0002497,PROD-00334,CLI-001608,Tecnologia,yape,Arequipa,4,2157.19,0.48,2026-05-13 16:33:15
EVT-000091,VEN-0027611,PROD-00114,CLI-002724,Tecnologia,yape,Lima,1,2857.8,0.42,2026-05-13 16:33:15
EVT-000092,VEN-0019010,PROD-00286,CLI-003006,Hogar,plin,Piura,2,8170.76,0.78,2026-05-13 16:33:15
EVT-000093,VEN-0018772,PROD-00111,CLI-001784,Ropa,tarjeta,Lima,2,1264.9,0.49,2026-05-13 16:33:16
EVT-000094,VEN-0018554,PROD-00171,CLI-001527,Electronica,yape,Cusco,3,12716.9,0.78,2026-05-13 16:33:16
EVT-000095,VEN-0015646,PROD-00421,CLI-007481,Electronica,efectivo,Trujillo,4,7321.09,0.87,2026-05-13 16:33:16
EVT-000096,VEN-0042189,PROD-00434,CLI-001975,Deportes,yape,Cusco,5,10841.96,0.72,2026-05-13 16:33:16
EVT-000097,VEN-0013388,PROD-00417,CLI-001356,Electronica,yape,Lima,4,10385.21,0.72,2026-05-13 16:33:16
EVT-000098,VEN-0040906,PROD-00170,CLI-008687,Hogar,yape,Arequipa,3,12819.97,0.88,2026-05-13 16:33:16
EVT-000099,VEN-0039713,PROD-00379,CLI-008955,Electronica,tarjeta,Lima,4,4337.0,0.73,2026-05-13 16:33:16
EVT-000100,VEN-0000478,PROD-00012,CLI-009984,Ropa,tarjeta,Trujillo,5,20028.84,0.72,2026-05-13 16:33:16
EVT-000101,VEN-0015793,PROD-00426,CLI-005517,Hogar,plin,Piura,4,15879.31,0.7,2026-05-13 16:33:16
EVT-000102,VEN-0036589,PROD-00223,CLI-004128,Deportes,plin,Cusco,1,959.69,0.43,2026-05-13 16:33:16
EVT-000103,VEN-0014415,PROD-00482,CLI-006124,Tecnologia,tarjeta,Lima,2,8745.41,0.82,2026-05-13 16:33:17
EVT-000104,VEN-0026748,PROD-00115,CLI-007148,Tecnologia,tarjeta,Arequipa,4,795.93,0.54,2026-05-13 16:33:17
EVT-000105,VEN-0040431,PROD-00434,CLI-002290,Deportes,tarjeta,Trujillo,2,4947.28,0.88,2026-05-13 16:33:17
EVT-000106,VEN-0032885,PROD-00344,CLI-000018,Tecnologia,efectivo,Piura,4,10440.49,0.79,2026-05-13 16:33:17
EVT-000107,VEN-0012697,PROD-00446,CLI-000591,Ropa,plin,Piura,1,1408.6,0.43,2026-05-13 16:33:17
EVT-000108,VEN-0017772,PROD-00462,CLI-007368,Deportes,yape,Lima,1,3180.73,0.74,2026-05-13 16:33:17
EVT-000109,VEN-0028611,PROD-00098,CLI-003843,Tecnologia,plin,Piura,4,12788.53,0.61,2026-05-13 16:33:17
EVT-000110,VEN-0012791,PROD-00481,CLI-000325,Electronica,efectivo,Arequipa,5,18109.33,0.94,2026-05-13 16:33:17
EVT-000111,VEN-0030139,PROD-00316,CLI-006730,Hogar,efectivo,Cusco,2,7497.87,0.7,2026-05-13 16:33:17
EVT-000112,VEN-0048802,PROD-00259,CLI-008198,Tecnologia,efectivo,Trujillo,5,1391.7,0.48,2026-05-13 16:33:17
EVT-000113,VEN-0010812,PROD-00310,CLI-004841,Ropa,yape,Piura,3,9573.62,0.88,2026-05-13 16:33:18
EVT-000114,VEN-0004218,PROD-00436,CLI-004243,Electronica,tarjeta,Arequipa,3,5944.42,0.62,2026-05-13 16:33:18
EVT-000115,VEN-0041058,PROD-00474,CLI-001633,Electronica,yape,Piura,5,1986.98,0.6,2026-05-13 16:33:18
EVT-000116,VEN-0042768,PROD-00247,CLI-001981,Tecnologia,yape,Cusco,3,6898.54,0.69,2026-05-13 16:33:18
EVT-000117,VEN-0014689,PROD-00149,CLI-001660,Hogar,tarjeta,Piura,3,8151.44,0.82,2026-05-13 16:33:18
EVT-000118,VEN-0046970,PROD-00029,CLI-000734,Hogar,plin,Cusco,5,18387.23,0.72,2026-05-13 16:33:18
EVT-000119,VEN-0045478,PROD-00032,CLI-000592,Ropa,plin,Cusco,1,2473.02,0.43,2026-05-13 16:33:18
EVT-000120,VEN-0039164,PROD-00454,CLI-007824,Tecnologia,plin,Cusco,2,3790.1,0.64,2026-05-13 16:33:18
EVT-000121,VEN-0004457,PROD-00406,CLI-002587,Tecnologia,yape,Piura,4,9570.69,0.83,2026-05-13 16:33:18
EVT-000122,VEN-0022265,PROD-00204,CLI-009399,Deportes,yape,Lima,5,8610.47,0.61,2026-05-13 16:33:19
EVT-000123,VEN-0013828,PROD-00194,CLI-003663,Ropa,efectivo,Trujillo,3,11362.84,0.61,2026-05-13 16:33:19
EVT-000124,VEN-0014145,PROD-00401,CLI-008972,Ropa,plin,Arequipa,4,13248.41,0.68,2026-05-13 16:33:19
EVT-000125,VEN-0031976,PROD-00006,CLI-005047,Deportes,tarjeta,Piura,1,3621.7,0.86,2026-05-13 16:33:19
EVT-000126,VEN-0017613,PROD-00436,CLI-003964,Electronica,efectivo,Cusco,1,1839.48,0.58,2026-05-13 16:33:19
EVT-000127,VEN-0016562,PROD-00296,CLI-001584,Tecnologia,tarjeta,Piura,5,8154.03,0.78,2026-05-13 16:33:19
EVT-000128,VEN-0039272,PROD-00001,CLI-005305,Electronica,tarjeta,Piura,4,6300.28,0.68,2026-05-13 16:33:19
EVT-000129,VEN-0024855,PROD-00225,CLI-000130,Tecnologia,yape,Lima,2,4110.67,0.92,2026-05-13 16:33:19
EVT-000130,VEN-0049275,PROD-00154,CLI-009251,Deportes,yape,Arequipa,2,1518.8,0.32,2026-05-13 16:33:19
EVT-000131,VEN-0034966,PROD-00103,CLI-003493,Electronica,yape,Piura,3,10279.33,0.78,2026-05-13 16:33:19
EVT-000132,VEN-0014542,PROD-00284,CLI-002700,Tecnologia,efectivo,Cusco,2,5888.25,0.71,2026-05-13 16:33:20
EVT-000133,VEN-0007123,PROD-00320,CLI-005204,Tecnologia,tarjeta,Trujillo,1,2304.75,0.48,2026-05-13 16:33:20
EVT-000134,VEN-0027314,PROD-00319,CLI-007035,Hogar,plin,Cusco,3,5151.2,0.85,2026-05-13 16:33:20
EVT-000135,VEN-0024945,PROD-00060,CLI-000531,Tecnologia,yape,Piura,1,1285.51,0.39,2026-05-13 16:33:20
EVT-000136,VEN-0028115,PROD-00071,CLI-000121,Deportes,yape,Cusco,1,2677.86,0.45,2026-05-13 16:33:20
EVT-000137,VEN-0027256,PROD-00442,CLI-004803,Deportes,plin,Trujillo,1,3411.55,0.75,2026-05-13 16:33:20
EVT-000138,VEN-0029932,PROD-00347,CLI-003719,Deportes,plin,Lima,2,777.74,0.52,2026-05-13 16:33:20
EVT-000139,VEN-0006557,PROD-00429,CLI-007371,Hogar,plin,Arequipa,4,7881.22,0.64,2026-05-13 16:33:20
EVT-000140,VEN-0047234,PROD-00428,CLI-009537,Electronica,efectivo,Lima,3,1296.96,0.36,2026-05-13 16:33:20
EVT-000141,VEN-0034289,PROD-00153,CLI-004636,Tecnologia,plin,Arequipa,3,4182.21,0.61,2026-05-13 16:33:20
EVT-000142,VEN-0019229,PROD-00353,CLI-002248,Hogar,yape,Cusco,2,4263.1,0.9,2026-05-13 16:33:21
EVT-000143,VEN-0030250,PROD-00034,CLI-002843,Deportes,tarjeta,Arequipa,3,5665.53,0.71,2026-05-13 16:33:21
EVT-000144,VEN-0026383,PROD-00019,CLI-002829,Tecnologia,plin,Cusco,4,9543.82,0.77,2026-05-13 16:33:21
EVT-000145,VEN-0002195,PROD-00273,CLI-008688,Hogar,plin,Trujillo,2,4571.3,0.81,2026-05-13 16:33:21
EVT-000146,VEN-0014080,PROD-00405,CLI-003712,Tecnologia,tarjeta,Arequipa,2,2632.46,0.27,2026-05-13 16:33:21
EVT-000147,VEN-0029195,PROD-00207,CLI-002376,Deportes,tarjeta,Lima,4,15613.91,0.85,2026-05-13 16:33:21
EVT-000148,VEN-0018422,PROD-00196,CLI-007203,Deportes,yape,Arequipa,4,3796.89,0.88,2026-05-13 16:33:21
EVT-000149,VEN-0007393,PROD-00239,CLI-004306,Deportes,efectivo,Piura,2,7522.1,0.9,2026-05-13 16:33:21
EVT-000150,VEN-0013513,PROD-00204,CLI-008100,Deportes,efectivo,Piura,5,8774.48,0.95,2026-05-13 16:33:21
EVT-000151,VEN-0008841,PROD-00490,CLI-009794,Electronica,yape,Lima,1,316.97,0.26,2026-05-13 16:33:21
EVT-000152,VEN-0024245,PROD-00016,CLI-001106,Tecnologia,efectivo,Lima,3,4415.6,0.69,2026-05-13 16:33:22
EVT-000153,VEN-0026821,PROD-00282,CLI-002406,Hogar,plin,Lima,1,3470.84,0.74,2026-05-13 16:33:22
EVT-000154,VEN-0006566,PROD-00215,CLI-008050,Ropa,plin,Piura,5,364.42,0.16,2026-05-13 16:33:22
EVT-000155,VEN-0028160,PROD-00048,CLI-004422,Electronica,tarjeta,Trujillo,4,3539.76,0.83,2026-05-13 16:33:22
EVT-000156,VEN-0010284,PROD-00136,CLI-007885,Tecnologia,tarjeta,Arequipa,2,6342.33,0.83,2026-05-13 16:33:22
EVT-000157,VEN-0018306,PROD-00297,CLI-008171,Electronica,yape,Cusco,3,6283.39,0.7,2026-05-13 16:33:22
EVT-000158,VEN-0042818,PROD-00143,CLI-003776,Tecnologia,plin,Lima,4,15446.96,0.85,2026-05-13 16:33:22
EVT-000159,VEN-0001876,PROD-00061,CLI-002164,Hogar,tarjeta,Arequipa,3,12261.19,0.86,2026-05-13 16:33:22
EVT-000160,VEN-0019922,PROD-00025,CLI-003994,Tecnologia,plin,Trujillo,2,2176.12,0.51,2026-05-13 16:33:22
EVT-000161,VEN-0044715,PROD-00073,CLI-002922,Hogar,plin,Arequipa,5,9284.74,0.75,2026-05-13 16:33:22
EVT-000162,VEN-0042122,PROD-00334,CLI-000950,Tecnologia,tarjeta,Arequipa,4,2339.81,0.42,2026-05-13 16:33:23
EVT-000163,VEN-0042920,PROD-00337,CLI-006978,Electronica,tarjeta,Arequipa,5,20412.21,0.64,2026-05-13 16:33:23
EVT-000164,VEN-0041615,PROD-00308,CLI-003911,Electronica,efectivo,Piura,3,10049.83,0.75,2026-05-13 16:33:23
EVT-000165,VEN-0017569,PROD-00250,CLI-002205,Deportes,tarjeta,Piura,4,9680.55,0.95,2026-05-13 16:33:23
EVT-000166,VEN-0012627,PROD-00125,CLI-001581,Ropa,tarjeta,Cusco,1,2896.86,0.56,2026-05-13 16:33:23
EVT-000167,VEN-0045804,PROD-00138,CLI-008970,Electronica,efectivo,Arequipa,2,187.01,0.26,2026-05-13 16:33:23
EVT-000168,VEN-0016822,PROD-00320,CLI-000618,Tecnologia,efectivo,Lima,4,8460.67,0.76,2026-05-13 16:33:23
EVT-000169,VEN-0024946,PROD-00140,CLI-007049,Ropa,efectivo,Trujillo,1,672.44,0.26,2026-05-13 16:33:23
EVT-000170,VEN-0041136,PROD-00218,CLI-005499,Hogar,plin,Piura,2,7035.56,0.63,2026-05-13 16:33:23
EVT-000171,VEN-0002460,PROD-00443,CLI-000450,Hogar,yape,Piura,5,8791.38,0.8,2026-05-13 16:33:24
EVT-000172,VEN-0018240,PROD-00239,CLI-000542,Deportes,tarjeta,Cusco,5,18428.73,0.78,2026-05-13 16:33:24
EVT-000173,VEN-0016486,PROD-00186,CLI-009945,Ropa,tarjeta,Lima,2,6310.25,0.85,2026-05-13 16:33:24
EVT-000174,VEN-0026326,PROD-00005,CLI-002004,Tecnologia,plin,Lima,4,9581.93,0.86,2026-05-13 16:33:24
EVT-000175,VEN-0018264,PROD-00273,CLI-001683,Hogar,tarjeta,Piura,5,10919.44,0.95,2026-05-13 16:33:24
EVT-000176,VEN-0017435,PROD-00433,CLI-005551,Deportes,yape,Lima,1,3960.95,0.93,2026-05-13 16:33:24
EVT-000177,VEN-0036562,PROD-00377,CLI-004542,Hogar,plin,Piura,5,8858.3,0.6,2026-05-13 16:33:24
EVT-000178,VEN-0029551,PROD-00125,CLI-001718,Ropa,efectivo,Piura,2,5453.81,0.62,2026-05-13 16:33:24
EVT-000179,VEN-0008717,PROD-00182,CLI-009808,Electronica,plin,Cusco,5,8978.64,0.78,2026-05-13 16:33:24
EVT-000180,VEN-0044458,PROD-00295,CLI-002841,Electronica,tarjeta,Arequipa,2,8616.02,0.82,2026-05-13 16:33:24
EVT-000181,VEN-0034454,PROD-00478,CLI-005182,Tecnologia,plin,Piura,4,1107.17,0.49,2026-05-13 16:33:25
EVT-000182,VEN-0017301,PROD-00451,CLI-009674,Ropa,yape,Lima,5,12399.85,0.62,2026-05-13 16:33:25
EVT-000183,VEN-0026116,PROD-00226,CLI-002784,Tecnologia,plin,Lima,4,9681.27,0.84,2026-05-13 16:33:25
EVT-000184,VEN-0002299,PROD-00182,CLI-006636,Electronica,efectivo,Lima,4,6998.56,0.67,2026-05-13 16:33:25
EVT-000185,VEN-0018298,PROD-00037,CLI-004923,Tecnologia,efectivo,Lima,4,16450.22,0.77,2026-05-13 16:33:25
EVT-000186,VEN-0033410,PROD-00167,CLI-001392,Electronica,tarjeta,Cusco,3,10001.48,0.72,2026-05-13 16:33:25
EVT-000187,VEN-0040716,PROD-00404,CLI-005662,Tecnologia,plin,Cusco,5,20135.58,0.78,2026-05-13 16:33:25
EVT-000188,VEN-0004550,PROD-00498,CLI-005882,Hogar,efectivo,Lima,5,9994.72,0.84,2026-05-13 16:33:25
EVT-000189,VEN-0042055,PROD-00358,CLI-004362,Ropa,plin,Cusco,4,3146.48,0.63,2026-05-13 16:33:25
EVT-000190,VEN-0012886,PROD-00205,CLI-003121,Ropa,plin,Trujillo,4,13078.44,0.95,2026-05-13 16:33:25
EVT-000191,VEN-0020850,PROD-00168,CLI-007982,Hogar,tarjeta,Lima,5,3707.28,0.61,2026-05-13 16:33:26
EVT-000192,VEN-0040548,PROD-00230,CLI-009504,Deportes,yape,Lima,1,3180.38,0.91,2026-05-13 16:33:26
EVT-000193,VEN-0023318,PROD-00378,CLI-009264,Electronica,efectivo,Trujillo,2,4328.91,0.63,2026-05-13 16:33:26
EVT-000194,VEN-0041105,PROD-00255,CLI-003888,Deportes,plin,Piura,3,7714.35,0.74,2026-05-13 16:33:26
EVT-000195,VEN-0038396,PROD-00153,CLI-004381,Tecnologia,yape,Cusco,4,6074.52,0.68,2026-05-13 16:33:26
EVT-000196,VEN-0022708,PROD-00109,CLI-005569,Ropa,yape,Cusco,4,7676.63,0.75,2026-05-13 16:33:26
EVT-000197,VEN-0029718,PROD-00314,CLI-002357,Ropa,tarjeta,Lima,5,10350.41,0.82,2026-05-13 16:33:26
EVT-000198,VEN-0026413,PROD-00497,CLI-009741,Ropa,plin,Piura,3,485.32,0.09,2026-05-13 16:33:26
EVT-000199,VEN-0027950,PROD-00431,CLI-008125,Deportes,efectivo,Arequipa,5,16129.5,0.84,2026-05-13 16:33:26
EVT-000200,VEN-0020759,PROD-00399,CLI-007578,Deportes,tarjeta,Cusco,2,8797.84,0.94,2026-05-13 16:33:26
EVT-000201,VEN-0048374,PROD-00478,CLI-002974,Tecnologia,yape,Piura,2,497.58,0.21,2026-05-13 16:33:27
EVT-000202,VEN-0026607,PROD-00386,CLI-001413,Tecnologia,efectivo,Trujillo,3,7172.36,0.63,2026-05-13 16:33:27
EVT-000203,VEN-0006195,PROD-00332,CLI-000330,Ropa,efectivo,Cusco,1,396.83,0.23,2026-05-13 16:33:27
EVT-000204,VEN-0029178,PROD-00061,CLI-008361,Hogar,tarjeta,Arequipa,4,18433.48,0.73,2026-05-13 16:33:27
