producto_id,nombre_producto,categoria,precio,stock,fecha_registro
PROD-00088,Teoría,Ropa,2606.29,237,2025-12-11
PROD-00089,Cambios,Electronica,2645.71,278,2025-07-10
PROD-00090,Lugar,Ropa,4084.44,444,2024-12-31
PROD-00091,González,Hogar,1172.05,498,2025-02-15
PROD-00092,Noviembre,Electronica,4395.53,340,2025-02-26
PROD-00093,Seguro,Ropa,2051.85,411,2024-11-16
PROD-00094,Tan,Hogar,4806.77,190,2024-08-12
PROD-00095,Tenía,Hogar,1771.47,361,2026-03-02
PROD-00096,Precio,Tecnologia,3963.18,120,2025-09-16
PROD-00097,Elecciones,Electronica,3111.51,153,2024-04-12
PROD-00098,Libertad,Tecnologia,3761.21,384,2024-07-13
PROD-00099,Cómo,Hogar,2857.78,298,2024-12-02
PROD-00100,Dice,Ropa,3358.13,77,2024-06-28
PROD-00101,Noviembre,Electronica,3912.07,59,2023-09-06
PROD-00102,Debía,Deportes,872.95,360,2023-08-01
PROD-00103,Salida,Electronica,3800.38,379,2024-05-27
PROD-00104,Tengo,Hogar,3236.8,64,2026-03-02
PROD-00105,Generales,Tecnologia,1581.48,311,2023-06-10
PROD-00106,Recursos,Electronica,1469.36,171,2024-10-15
PROD-00107,I,Hogar,1319.07,42,2024-04-09
PROD-00108,Claro,Electronica,2069.98,469,2026-02-07
PROD-00109,Cabo,Ropa,2084.35,17,2026-03-17
PROD-00110,Plan,Electronica,500.32,21,2025-03-20
PROD-00111,Pueden,Ropa,632.64,361,2023-10-28
PROD-00112,Época,Tecnologia,2890.88,489,2023-12-25
PROD-00113,Buenos,Ropa,1588.57,243,2024-05-15
PROD-00114,Decía,Tecnologia,3136.12,375,2024-01-23
PROD-00115,Fernando,Tecnologia,209.29,216,2023-07-28
PROD-00116,Fondo,Ropa,3046.77,314,2023-06-19
PROD-00117,Medidas,Deportes,2142.1,356,2026-02-15
PROD-00118,Años,Electronica,3438.59,450,2025-04-22
PROD-00119,Dan,Tecnologia,3413.39,482,2025-11-17
PROD-00120,Puntos,Ropa,1957.46,494,2025-12-19
PROD-00121,Lucha,Ropa,307.0,376,2023-12-05
PROD-00122,Metros,Deportes,4394.52,154,2025-05-25
PROD-00123,Lo,Ropa,1461.99,500,2023-10-01
PROD-00124,Ministerio,Electronica,1498.77,223,2024-01-07
PROD-00125,López,Ropa,2936.32,20,2024-11-29
PROD-00126,Conseguir,Tecnologia,4784.81,111,2023-10-10
PROD-00127,Viene,Tecnologia,299.6,67,2025-11-23
PROD-00128,Ciento,Hogar,3102.47,70,2024-03-06
PROD-00129,Alguien,Electronica,645.9,191,2024-08-08
PROD-00130,Aunque,Tecnologia,3246.51,345,2024-07-05
PROD-00131,Sistema,Ropa,163.39,306,2024-05-24
PROD-00132,Todavía,Hogar,1792.74,206,2024-10-02
PROD-00133,Atrás,Deportes,1211.74,225,2025-10-22
PROD-00134,Tierra,Hogar,3879.04,103,2024-10-06
PROD-00135,Claro,Tecnologia,161.52,377,2024-12-02
PROD-00136,Existe,Tecnologia,3425.09,213,2023-09-21
PROD-00137,Cámara,Ropa,3937.29,126,2024-12-08
PROD-00138,Don,Electronica,102.65,287,2025-10-23
PROD-00139,Zonas,Deportes,2101.04,500,2024-01-02
PROD-00140,Y,Ropa,710.51,330,2026-03-23
PROD-00141,Busca,Tecnologia,465.45,101,2024-09-21
PROD-00142,Español,Tecnologia,209.28,453,2024-08-02
PROD-00143,Precio,Tecnologia,4102.92,184,2025-11-11
PROD-00144,Santiago,Tecnologia,3777.57,172,2025-05-16
PROD-00145,Hospital,Electronica,3296.18,15,2023-06-11
PROD-00146,Santiago,Hogar,2363.31,123,2023-10-31
PROD-00147,Fuentes,Tecnologia,4313.29,484,2025-06-04
PROD-00148,Local,Deportes,3542.2,194,2024-12-23
PROD-00149,Poco,Hogar,2816.72,151,2025-03-23
PROD-00150,Podría,Ropa,4308.84,201,2025-01-11
PROD-00151,Comunicación,Ropa,2307.15,244,2025-07-22
PROD-00152,Experiencia,Tecnologia,4060.96,469,2024-03-30
PROD-00153,Hora,Tecnologia,1574.72,91,2025-05-16
PROD-00154,Están,Deportes,785.82,467,2023-09-01
PROD-00155,Meses,Electronica,4753.2,426,2023-08-26
PROD-00156,Deben,Tecnologia,3517.7,417,2023-11-16
PROD-00157,Habrá,Electronica,3202.8,53,2023-07-18
PROD-00158,Española,Ropa,1876.51,384,2025-07-12
PROD-00159,Manera,Ropa,707.04,388,2025-04-19
PROD-00160,Nada,Electronica,4994.08,19,2024-11-18
PROD-00161,Derecho,Tecnologia,1101.27,444,2025-02-15
PROD-00162,Él,Tecnologia,1547.42,32,2024-03-26
PROD-00163,Real,Deportes,1915.3,274,2023-11-05
PROD-00164,Ojos,Hogar,4826.5,63,2023-07-20
PROD-00165,Libertad,Electronica,726.62,209,2025-12-17
PROD-00166,Trabajar,Ropa,2746.5,168,2025-09-10
PROD-00167,Medios,Electronica,3691.9,349,2026-04-05
PROD-00168,Puede,Hogar,827.81,159,2023-08-26
PROD-00169,O,Ropa,2715.0,192,2024-04-16
PROD-00170,Gran,Hogar,4864.32,106,2025-06-02
PROD-00171,Principal,Electronica,4239.6,341,2026-04-29
PROD-00172,Hacerlo,Deportes,4697.3,192,2024-05-30
PROD-00173,Atrás,Tecnologia,871.01,274,2024-09-23
PROD-00174,República,Electronica,914.52,286,2025-04-29
PROD-00175,Origen,Hogar,836.41,464,2023-06-23
PROD-00176,Idea,Electronica,2584.66,461,2024-04-23
PROD-00177,Nadie,Electronica,4212.73,42,2025-02-22
PROD-00178,Anterior,Ropa,1527.19,282,2026-04-20
PROD-00179,Busca,Hogar,3005.49,137,2023-09-20
PROD-00180,Campo,Hogar,549.22,177,2025-12-11
PROD-00181,Derecha,Deportes,554.82,438,2026-04-14
PROD-00182,Problemas,Electronica,1918.37,325,2024-07-12
PROD-00183,Blanca,Ropa,3244.78,188,2025-10-24
PROD-00184,Todos,Deportes,4549.31,71,2025-07-26
PROD-00185,Datos,Tecnologia,2604.35,434,2025-12-30
PROD-00186,Sería,Ropa,3424.0,243,2025-06-13
PROD-00187,Segundo,Tecnologia,1738.69,45,2025-07-17
PROD-00188,Expresión,Electronica,4045.93,408,2025-10-05
PROD-00189,Primera,Ropa,1341.21,348,2024-04-02
PROD-00190,Actual,Hogar,858.34,231,2024-04-26
PROD-00191,Particular,Tecnologia,2816.65,175,2023-06-04
PROD-00192,Conseguir,Deportes,2027.29,100,2024-05-22
PROD-00193,Libre,Hogar,4035.76,122,2023-07-13
PROD-00194,Mayor,Ropa,3798.95,189,2023-11-06
PROD-00195,Primera,Deportes,4161.47,312,2023-09-19
PROD-00196,Además,Deportes,1080.12,236,2024-12-05
PROD-00197,P,Tecnologia,3291.07,75,2025-04-22
PROD-00198,Boca,Deportes,1352.79,437,2024-04-08
PROD-00199,Siendo,Electronica,1613.77,440,2025-02-04
PROD-00200,Española,Deportes,1332.84,289,2024-08-10
PROD-00201,Saber,Ropa,1186.78,83,2024-01-30
PROD-00202,Servicios,Tecnologia,3866.66,147,2025-05-08
PROD-00203,Producto,Ropa,2880.45,334,2023-09-27
PROD-00204,Cuya,Deportes,2009.26,291,2023-06-13
PROD-00205,Campaña,Ropa,3377.1,182,2026-03-02
PROD-00206,Habrá,Electronica,3402.29,482,2025-01-10
PROD-00207,Ii,Deportes,4544.54,443,2024-02-16
PROD-00208,Política,Tecnologia,2593.12,227,2024-01-18
PROD-00209,Su,Ropa,3248.16,40,2024-03-11
PROD-00210,Investigación,Deportes,3627.69,15,2024-08-12
PROD-00211,Noviembre,Ropa,2803.43,139,2024-04-21
PROD-00212,Arriba,Hogar,1683.39,339,2025-03-29
PROD-00213,Ella,Tecnologia,2084.82,408,2025-11-18
PROD-00214,Sol,Deportes,4259.63,257,2023-06-23
PROD-00215,Mucha,Ropa,78.53,397,2026-03-31
PROD-00216,Tenemos,Hogar,3188.63,348,2025-10-27
PROD-00217,Empresa,Ropa,1646.54,409,2025-04-05
PROD-00218,Lejos,Hogar,3957.91,273,2025-08-04
PROD-00219,Vez,Ropa,3121.67,199,2025-05-03
PROD-00220,Un,Electronica,2787.71,106,2025-03-31
PROD-00221,Relación,Tecnologia,3849.32,58,2024-10-09
PROD-00222,Afirmó,Hogar,1663.32,122,2024-01-11
PROD-00223,Políticos,Deportes,1047.73,354,2025-12-12
PROD-00224,Suficiente,Hogar,3533.47,53,2025-08-06
PROD-00225,Aparece,Tecnologia,2096.85,277,2024-07-23
PROD-00226,Solo,Tecnologia,2804.6,65,2026-03-20
PROD-00227,Eran,Electronica,1368.96,224,2025-01-17
PROD-00228,Tú,Electronica,942.59,385,2024-05-23
PROD-00229,Aún,Tecnologia,4942.73,493,2024-06-26
PROD-00230,Aquellos,Deportes,3296.27,184,2025-04-10
PROD-00231,Cuales,Ropa,1750.11,320,2025-10-18
PROD-00232,Has,Deportes,1291.64,462,2025-09-23
PROD-00233,Unión,Ropa,4198.02,28,2024-04-19
PROD-00234,Sea,Deportes,683.51,256,2025-03-31
PROD-00235,Pasado,Ropa,1284.19,396,2024-10-25
PROD-00236,Y,Deportes,1009.7,150,2026-03-19
PROD-00237,Período,Tecnologia,4214.39,214,2026-03-25
PROD-00238,Menor,Ropa,1107.11,37,2025-06-20
PROD-00239,Sala,Deportes,4317.41,381,2023-06-23
PROD-00240,Misma,Tecnologia,3416.64,402,2023-08-13
PROD-00241,Ningún,Ropa,4905.54,325,2025-01-01
PROD-00242,Mañana,Electronica,4268.19,277,2023-10-11
PROD-00243,Acerca,Tecnologia,1638.99,172,2023-08-31
PROD-00244,Jorge,Ropa,1813.19,49,2023-06-02
PROD-00245,Horas,Tecnologia,4320.23,99,2025-11-29
PROD-00246,Viaje,Ropa,4820.49,456,2025-02-09
PROD-00247,Respuesta,Tecnologia,2612.3,206,2023-06-30
PROD-00248,Dio,Electronica,4629.01,119,2024-07-03
PROD-00249,Rafael,Electronica,2329.77,117,2026-04-11
PROD-00250,Octubre,Deportes,2550.01,279,2025-04-17
PROD-00251,Estas,Hogar,2578.13,415,2026-04-04
PROD-00252,Caso,Ropa,3883.41,376,2023-08-14
PROD-00253,D,Deportes,700.82,357,2024-07-12
PROD-00254,Importancia,Ropa,1831.45,343,2024-02-23
PROD-00255,Fue,Deportes,2672.86,381,2025-07-29
PROD-00256,Permite,Tecnologia,961.49,320,2025-09-21
PROD-00257,Aquí,Tecnologia,3529.99,88,2026-01-22
PROD-00258,Nivel,Hogar,673.66,427,2024-12-26
PROD-00259,Condiciones,Tecnologia,324.17,351,2023-10-06
PROD-00260,Hijo,Electronica,1416.23,163,2023-12-05
PROD-00261,Ideas,Hogar,713.16,286,2025-04-02
PROD-00262,Dolor,Ropa,657.39,96,2025-03-07
PROD-00263,Siguiente,Hogar,3471.05,394,2026-03-07
PROD-00264,Española,Hogar,3406.03,221,2025-10-19
PROD-00265,Llama,Tecnologia,2458.92,289,2025-09-10
PROD-00266,Revolución,Electronica,1517.23,273,2026-05-09
PROD-00267,Pueden,Ropa,4442.37,57,2025-07-12
PROD-00268,Sin,Deportes,3408.36,218,2023-11-25
PROD-00269,Allá,Hogar,4502.65,84,2023-10-18
PROD-00270,Si,Tecnologia,220.56,13,2026-01-09
PROD-00271,Decisión,Electronica,491.39,310,2025-05-13
PROD-00272,Quedó,Ropa,1657.28,24,2025-04-17
PROD-00273,Que,Hogar,2526.25,454,2025-11-20
PROD-00274,Él,Electronica,2125.74,231,2024-06-19
PROD-00275,Países,Hogar,4168.86,97,2024-12-16
PROD-00276,Cuyo,Hogar,1138.77,263,2025-03-11
PROD-00277,Quien,Hogar,1874.3,284,2023-09-06
PROD-00278,Iba,Deportes,3611.13,245,2024-10-25
PROD-00279,Cama,Ropa,3531.11,168,2025-11-15
PROD-00280,E,Deportes,4676.91,296,2024-07-03
PROD-00281,Mismos,Tecnologia,2419.4,459,2024-04-07
PROD-00282,Hacia,Hogar,3700.48,69,2024-05-28
PROD-00283,Hermano,Electronica,1782.6,357,2024-11-09
PROD-00284,Apoyo,Tecnologia,3445.8,68,2024-12-01
PROD-00285,París,Hogar,1033.77,231,2024-06-09
PROD-00286,G,Hogar,4499.41,229,2024-09-23
PROD-00287,Cantidad,Electronica,2743.58,84,2024-05-25
PROD-00288,Mismo,Ropa,1449.84,196,2025-09-12
PROD-00289,Día,Deportes,67.42,276,2025-10-15
PROD-00290,Conciencia,Deportes,4435.95,440,2024-04-18
PROD-00291,Psoe,Ropa,2451.09,80,2025-05-07
PROD-00292,Grupo,Electronica,3970.79,296,2024-05-03
PROD-00293,Juego,Hogar,4848.96,243,2025-01-17
PROD-00294,Mercado,Deportes,3050.53,313,2026-01-31
PROD-00295,Médico,Electronica,4655.03,353,2025-05-02
PROD-00296,Control,Tecnologia,1644.73,140,2024-07-27
PROD-00297,Mujer,Electronica,2315.72,187,2023-12-14
PROD-00298,Hacía,Tecnologia,4133.24,279,2024-01-09
PROD-00299,Santa,Tecnologia,4733.1,426,2026-02-14
PROD-00300,Diferencia,Ropa,1497.85,51,2025-09-21
PROD-00301,Ambos,Tecnologia,228.53,280,2025-11-09
PROD-00302,Conocer,Deportes,2830.6,207,2024-07-04
PROD-00303,Primer,Tecnologia,4797.96,324,2024-09-08
PROD-00304,Salir,Deportes,2713.1,88,2025-05-01
PROD-00305,Momento,Ropa,688.92,63,2024-08-27
PROD-00306,Pesetas,Deportes,477.46,283,2025-11-13
PROD-00307,Mil,Ropa,110.81,33,2024-02-29
PROD-00308,Voluntad,Electronica,3767.84,276,2024-09-11
PROD-00309,Todas,Electronica,3667.55,448,2024-12-30
PROD-00310,Hora,Ropa,3591.84,167,2024-01-24
PROD-00311,N,Deportes,1225.2,377,2023-10-17
PROD-00312,Enero,Deportes,3458.47,214,2023-09-25
PROD-00313,Casos,Hogar,2580.16,444,2025-01-31
PROD-00314,Suelo,Ropa,2105.96,260,2024-07-25
PROD-00315,Más,Hogar,2986.53,234,2025-01-04
PROD-00316,Orden,Hogar,3848.56,311,2025-05-20
PROD-00317,Internacional,Deportes,2960.95,257,2023-08-25
PROD-00318,Llegado,Tecnologia,101.42,494,2026-02-17
PROD-00319,Reforma,Hogar,1935.91,27,2025-05-25
PROD-00320,Suelo,Tecnologia,2337.8,81,2026-03-22
PROD-00321,Tiempos,Ropa,1220.36,276,2025-08-27
PROD-00322,Popular,Ropa,1351.19,231,2023-12-29
PROD-00323,Creo,Tecnologia,150.96,318,2025-04-22
PROD-00324,Nos,Tecnologia,848.47,281,2026-02-17
PROD-00325,Médico,Electronica,2822.49,422,2023-11-18
PROD-00326,Nosotros,Hogar,2941.09,293,2025-01-14
PROD-00327,Cinco,Hogar,2297.29,423,2023-10-03
PROD-00328,Naturaleza,Electronica,4012.65,422,2025-04-18
PROD-00329,Medios,Deportes,2016.57,12,2025-11-10
PROD-00330,Unidad,Hogar,999.28,144,2024-10-15
PROD-00331,Ii,Hogar,2633.11,477,2024-10-23
PROD-00332,Por,Ropa,441.07,95,2023-06-23
PROD-00333,Ley,Electronica,1108.39,441,2025-04-09
PROD-00334,Existen,Tecnologia,596.13,239,2025-12-01
PROD-00335,Muchas,Tecnologia,3341.73,192,2024-05-04
PROD-00336,Atrás,Deportes,4207.66,273,2023-12-28
PROD-00337,Joven,Electronica,4785.71,471,2024-11-27
PROD-00338,Silencio,Hogar,3259.15,256,2025-04-02
PROD-00339,Aunque,Electronica,1470.75,96,2025-01-11
PROD-00340,Será,Electronica,1410.03,13,2024-12-23
PROD-00341,Un,Ropa,3096.38,32,2026-04-23
PROD-00342,Medio,Deportes,4625.47,46,2024-05-08
PROD-00343,Tarde,Tecnologia,854.63,335,2026-03-11
PROD-00344,Bajo,Tecnologia,2926.88,131,2025-03-07
PROD-00345,Pueden,Deportes,4104.66,287,2025-06-24
PROD-00346,Tan,Ropa,1156.91,211,2025-01-24
PROD-00347,Metros,Deportes,455.56,26,2024-12-04
PROD-00348,Españoles,Electronica,2079.26,294,2025-01-14
PROD-00349,General,Electronica,2216.84,328,2023-06-13
PROD-00350,Imposible,Hogar,874.43,94,2024-08-14
PROD-00351,Manera,Tecnologia,1012.83,397,2025-01-05
PROD-00352,Próximo,Ropa,2011.15,340,2026-04-30
PROD-00353,Arriba,Hogar,2351.19,19,2026-02-03
PROD-00354,Pie,Ropa,390.09,395,2025-05-08
PROD-00355,Propia,Hogar,4905.22,300,2024-05-27
PROD-00356,Parecía,Tecnologia,3899.22,431,2024-10-19
PROD-00357,Economía,Deportes,4355.45,86,2026-01-05
PROD-00358,Oro,Ropa,895.02,291,2024-02-11
PROD-00359,Línea,Electronica,710.66,426,2024-10-31
PROD-00360,Más,Deportes,466.16,367,2024-10-20
PROD-00361,Pesar,Deportes,3153.76,353,2024-02-15
PROD-00362,Juez,Tecnologia,1706.28,492,2024-10-04
PROD-00363,Sabe,Ropa,434.44,359,2024-03-07
PROD-00364,Oposición,Tecnologia,124.64,139,2025-07-23
PROD-00365,Cosa,Hogar,595.6,459,2024-01-07
PROD-00366,Yo,Hogar,4718.01,314,2025-10-22
PROD-00367,Electoral,Tecnologia,3407.15,300,2023-07-22
PROD-00368,Carta,Hogar,1548.25,282,2025-04-19
PROD-00369,Duda,Electronica,4862.74,185,2025-05-29
PROD-00370,Memoria,Hogar,3577.9,312,2025-12-08
PROD-00371,Comunidad,Electronica,1228.41,251,2025-03-18
PROD-00372,Temas,Hogar,3044.37,267,2024-11-21
PROD-00373,Presente,Deportes,583.41,75,2025-02-24
PROD-00374,Economía,Electronica,3072.72,169,2024-04-25
PROD-00375,Segunda,Hogar,2050.4,139,2024-06-10
PROD-00376,Otros,Electronica,2232.66,161,2026-04-30
PROD-00377,Considera,Hogar,1918.07,330,2025-10-03
PROD-00378,Diferencia,Electronica,2231.51,72,2024-02-19
PROD-00379,R,Electronica,1152.57,176,2026-03-30
PROD-00380,Encuentra,Deportes,4052.35,443,2024-12-03
PROD-00381,Tema,Deportes,4767.26,234,2025-04-03
PROD-00382,Siguientes,Deportes,3645.02,435,2025-03-10
PROD-00383,Hizo,Ropa,1269.55,388,2023-06-13
PROD-00384,Gente,Tecnologia,2064.0,161,2023-12-28
PROD-00385,Políticos,Ropa,4094.0,62,2025-12-05
PROD-00386,Quien,Tecnologia,2748.64,114,2024-11-25
PROD-00387,Local,Hogar,4944.85,160,2025-12-11
PROD-00388,Produce,Deportes,1139.75,364,2025-12-25
PROD-00389,Economía,Ropa,846.07,61,2023-10-09
PROD-00390,Padres,Hogar,1938.11,317,2025-11-19
PROD-00391,Claro,Ropa,3229.81,212,2024-06-14
PROD-00392,Tratamiento,Hogar,3089.77,165,2024-07-15
PROD-00393,Blanco,Tecnologia,2700.36,203,2025-07-16
PROD-00394,Historia,Ropa,1751.22,482,2023-10-26
PROD-00395,García,Deportes,1227.97,270,2025-06-23
PROD-00396,Luego,Ropa,206.49,328,2025-07-19
PROD-00397,Hombre,Hogar,1515.49,444,2025-10-02
PROD-00398,Mirada,Deportes,3357.29,74,2025-05-02
PROD-00399,Ni,Deportes,4933.94,335,2025-10-07
PROD-00400,Mucha,Deportes,3410.97,323,2023-06-19
PROD-00401,Costa,Ropa,3694.74,419,2024-04-05
PROD-00402,Prueba,Tecnologia,2578.92,297,2023-11-25
PROD-00403,Nosotros,Ropa,4185.36,125,2026-04-02
PROD-00404,Seguro,Tecnologia,4411.47,495,2024-06-06
PROD-00405,Joven,Tecnologia,1442.13,350,2023-11-13
PROD-00406,Seguro,Tecnologia,2540.01,435,2023-07-10
PROD-00407,Tener,Ropa,3761.17,279,2025-05-27
PROD-00408,Espacio,Hogar,87.23,279,2025-04-14
PROD-00409,Carácter,Deportes,1949.3,466,2026-02-05
PROD-00410,Máximo,Ropa,4273.62,419,2023-06-13
PROD-00411,Importante,Hogar,2804.88,203,2024-11-26
PROD-00412,Debía,Ropa,4320.69,452,2024-12-27
PROD-00413,Nuestros,Electronica,552.81,120,2025-05-27
PROD-00414,Dado,Hogar,2462.84,211,2023-10-29
PROD-00415,Luz,Deportes,4987.55,90,2023-10-19
PROD-00416,Políticos,Deportes,2574.98,201,2023-06-26
PROD-00417,Los,Electronica,2735.83,61,2023-07-15
PROD-00418,Tengo,Electronica,1102.39,73,2025-02-13
PROD-00419,Quedó,Deportes,3015.41,335,2025-06-16
PROD-00420,Democracia,Tecnologia,4967.89,330,2024-02-18
PROD-00421,Características,Electronica,2093.49,174,2023-06-12
PROD-00422,Justicia,Ropa,4489.45,59,2023-12-08
PROD-00423,Democracia,Electronica,3813.58,347,2023-08-19
PROD-00424,Análisis,Hogar,2315.43,221,2024-08-29
PROD-00425,Salida,Electronica,3225.36,433,2025-11-20
PROD-00426,Gente,Hogar,4373.41,293,2024-01-14
PROD-00427,Flores,Deportes,1717.6,102,2024-11-05
PROD-00428,Ningún,Electronica,451.24,131,2023-11-02
PROD-00429,Área,Hogar,2227.94,496,2024-08-17
PROD-00430,Principio,Electronica,4592.4,291,2024-09-27
PROD-00431,Amor,Deportes,3772.86,77,2025-06-23
PROD-00432,Flores,Electronica,122.55,247,2024-04-15
PROD-00433,Alrededor,Deportes,4384.41,42,2024-09-06
PROD-00434,R,Deportes,2499.41,239,2025-01-14
PROD-00435,Central,Deportes,1770.71,60,2023-08-21
PROD-00436,Has,Electronica,2050.11,229,2023-12-30
PROD-00437,Punto,Electronica,1293.58,289,2023-09-16
PROD-00438,Aunque,Tecnologia,1255.41,65,2024-06-03
PROD-00439,Diario,Ropa,4756.92,15,2025-03-24
PROD-00440,Estas,Hogar,3020.49,415,2023-09-16
PROD-00441,Haber,Ropa,1305.47,420,2025-04-14
PROD-00442,Historia,Deportes,3933.75,365,2026-01-22
PROD-00443,Destino,Hogar,1837.18,395,2026-04-24
PROD-00444,Sobre,Electronica,2064.25,334,2025-01-01
PROD-00445,Todas,Electronica,2897.78,326,2025-04-22
PROD-00446,Obstante,Ropa,1609.42,449,2025-04-07
PROD-00447,Muchas,Tecnologia,4336.41,169,2024-03-22
PROD-00448,Puerta,Hogar,3713.36,319,2024-07-22
PROD-00449,Valor,Tecnologia,922.78,224,2024-12-04
PROD-00450,Armas,Ropa,189.59,322,2024-03-07
PROD-00451,Dios,Ropa,2646.15,158,2024-10-29
PROD-00452,Trabajo,Deportes,3697.52,454,2023-09-07
PROD-00453,Entonces,Ropa,1055.5,487,2025-01-15
PROD-00454,Niveles,Tecnologia,2220.02,193,2024-06-09
