venta_id,cliente_id,producto_id,categoria,cantidad,precio_unitario,subtotal,descuento,total,metodo_pago,fecha_venta
VEN-0000047,CLI-000405,PROD-00298,Tecnologia,1,4133.24,4133.24,120.94,4012.3,tarjeta,2026-05-13 15:47:39.182958
VEN-0000048,CLI-006688,PROD-00497,Ropa,5,174.57,872.85,71.27,801.58,yape,2026-05-13 15:52:09.362149
VEN-0000049,CLI-003609,PROD-00433,Deportes,1,4384.41,4384.41,553.13,3831.28,efectivo,2026-05-13 15:49:47.086843
VEN-0000050,CLI-008846,PROD-00382,Deportes,5,3645.02,18225.1,649.81,17575.29,yape,2026-05-13 15:48:24.098760
VEN-0000051,CLI-003630,PROD-00259,Tecnologia,3,324.17,972.51,113.27,859.24,tarjeta,2026-05-13 15:49:22.999095
VEN-0000052,CLI-007071,PROD-00425,Electronica,2,3225.36,6450.72,212.07,6238.65,yape,2026-05-13 15:48:21.167282
VEN-0000053,CLI-007626,PROD-00342,Deportes,2,4625.47,9250.94,255.86,8995.08,efectivo,2026-05-13 15:51:27.091328
VEN-0000054,CLI-001450,PROD-00285,Hogar,1,1033.77,1033.77,69.56,964.21,tarjeta,2026-05-13 15:50:54.567549
VEN-0000055,CLI-004736,PROD-00190,Hogar,2,858.34,1716.68,56.06,1660.62,yape,2026-05-13 15:47:19.421980
VEN-0000056,CLI-003573,PROD-00254,Ropa,3,1831.45,5494.35,723.37,4770.98,yape,2026-05-13 15:49:46.672922
VEN-0000057,CLI-000848,PROD-00299,Tecnologia,5,4733.1,23665.5,3328.4,20337.1,efectivo,2026-05-13 15:49:00.077413
VEN-0000058,CLI-003129,PROD-00409,Deportes,4,1949.3,7797.2,24.83,7772.37,plin,2026-05-13 15:47:24.871895
VEN-0000059,CLI-009173,PROD-00037,Tecnologia,5,4636.25,23181.25,1894.36,21286.89,plin,2026-05-13 15:52:24.092814
VEN-0000060,CLI-006219,PROD-00376,Electronica,3,2232.66,6697.98,469.71,6228.27,yape,2026-05-13 15:47:34.022098
VEN-0000061,CLI-003424,PROD-00420,Tecnologia,3,4967.89,14903.67,67.4,14836.27,tarjeta,2026-05-13 15:47:47.551073
VEN-0000062,CLI-002497,PROD-00323,Tecnologia,5,150.96,754.8,55.46,699.34,yape,2026-05-13 15:51:24.447176
VEN-0000063,CLI-002155,PROD-00298,Tecnologia,1,4133.24,4133.24,551.99,3581.25,yape,2026-05-13 15:50:14.223413
VEN-0000064,CLI-006811,PROD-00356,Tecnologia,5,3899.22,19496.1,709.25,18786.85,yape,2026-05-13 15:49:29.148080
VEN-0000065,CLI-001222,PROD-00270,Tecnologia,2,220.56,441.12,31.24,409.88,yape,2026-05-13 15:51:31.932016
VEN-0000066,CLI-007311,PROD-00161,Tecnologia,1,1101.27,1101.27,145.52,955.75,yape,2026-05-13 15:48:07.981615
VEN-0000067,CLI-005333,PROD-00284,Tecnologia,3,3445.8,10337.4,560.18,9777.22,tarjeta,2026-05-13 15:47:31.298542
VEN-0000068,CLI-008902,PROD-00184,Deportes,4,4549.31,18197.24,25.14,18172.1,tarjeta,2026-05-13 15:51:52.180705
VEN-0000069,CLI-008064,PROD-00235,Ropa,4,1284.19,5136.76,100.27,5036.49,efectivo,2026-05-13 15:50:48.961607
VEN-0000070,CLI-001215,PROD-00473,Ropa,1,31.11,31.11,3.04,28.07,efectivo,2026-05-13 15:48:58.856808
VEN-0000071,CLI-003946,PROD-00332,Ropa,1,441.07,441.07,44.26,396.81,plin,2026-05-13 15:51:59.517869
VEN-0000072,CLI-004834,PROD-00008,Electronica,2,571.47,1142.94,117.34,1025.6,efectivo,2026-05-13 15:50:15.965090
VEN-0000073,CLI-002393,PROD-00290,Deportes,2,4435.95,8871.9,1212.11,7659.79,plin,2026-05-13 15:51:37.390529
VEN-0000074,CLI-002646,PROD-00392,Hogar,3,3089.77,9269.31,1115.95,8153.36,efectivo,2026-05-13 15:51:07.245578
VEN-0000075,CLI-000697,PROD-00160,Electronica,5,4994.08,24970.4,1550.28,23420.12,plin,2026-05-13 15:52:07.701301
VEN-0000076,CLI-006240,PROD-00434,Deportes,3,2499.41,7498.23,223.73,7274.5,plin,2026-05-13 15:46:55.522772
VEN-0000077,CLI-009597,PROD-00171,Electronica,5,4239.6,21198.0,1623.95,19574.05,yape,2026-05-13 15:49:47.713220
VEN-0000078,CLI-005934,PROD-00409,Deportes,5,1949.3,9746.5,1023.28,8723.22,efectivo,2026-05-13 15:51:31.304048
VEN-0000079,CLI-001408,PROD-00394,Ropa,2,1751.22,3502.44,270.35,3232.09,tarjeta,2026-05-13 15:47:30.327201
VEN-0000080,CLI-000556,PROD-00057,Deportes,1,3454.99,3454.99,39.57,3415.42,plin,2026-05-13 15:50:12.255458
VEN-0000081,CLI-008672,PROD-00020,Deportes,5,2541.67,12708.35,84.76,12623.59,yape,2026-05-13 15:52:28.345399
VEN-0000082,CLI-006747,PROD-00341,Ropa,4,3096.38,12385.52,1795.6,10589.92,tarjeta,2026-05-13 15:49:26.916824
VEN-0000083,CLI-007204,PROD-00264,Hogar,3,3406.03,10218.09,1486.32,8731.77,tarjeta,2026-05-13 15:49:18.866039
VEN-0000084,CLI-006243,PROD-00196,Deportes,4,1080.12,4320.48,246.02,4074.46,efectivo,2026-05-13 15:49:20.712393
VEN-0000085,CLI-007836,PROD-00236,Deportes,5,1009.7,5048.5,33.53,5014.97,yape,2026-05-13 15:47:16.510816
VEN-0000086,CLI-005212,PROD-00215,Ropa,2,78.53,157.06,5.01,152.05,plin,2026-05-13 15:49:57.551094
VEN-0000087,CLI-001040,PROD-00415,Deportes,4,4987.55,19950.2,1780.2,18170.0,tarjeta,2026-05-13 15:49:17.494597
VEN-0000088,CLI-007671,PROD-00025,Tecnologia,2,1138.13,2276.26,117.26,2159.0,efectivo,2026-05-13 15:47:24.650741
VEN-0000089,CLI-005462,PROD-00401,Ropa,4,3694.74,14778.96,1760.2,13018.76,yape,2026-05-13 15:50:34.348146
VEN-0000090,CLI-006935,PROD-00450,Ropa,5,189.59,947.95,13.99,933.96,efectivo,2026-05-13 15:47:18.762654
VEN-0000091,CLI-001420,PROD-00348,Electronica,2,2079.26,4158.52,357.29,3801.23,tarjeta,2026-05-13 15:51:42.264120
VEN-0000092,CLI-009866,PROD-00315,Hogar,5,2986.53,14932.65,231.85,14700.8,efectivo,2026-05-13 15:46:52.408061
VEN-0000093,CLI-004256,PROD-00455,Tecnologia,2,1558.64,3117.28,332.61,2784.67,efectivo,2026-05-13 15:52:15.451386
VEN-0000094,CLI-006473,PROD-00041,Electronica,2,4160.39,8320.78,322.74,7998.04,plin,2026-05-13 15:51:56.731779
VEN-0000095,CLI-001524,PROD-00037,Tecnologia,2,4636.25,9272.5,955.03,8317.47,efectivo,2026-05-13 15:50:20.694997
VEN-0000096,CLI-009497,PROD-00178,Ropa,1,1527.19,1527.19,210.57,1316.62,yape,2026-05-13 15:48:44.840012
VEN-0000097,CLI-003734,PROD-00067,Ropa,1,4674.03,4674.03,363.07,4310.96,efectivo,2026-05-13 15:49:19.502231
VEN-0000098,CLI-007060,PROD-00273,Hogar,5,2526.25,12631.25,1789.06,10842.19,yape,2026-05-13 15:47:07.060032
VEN-0000099,CLI-008946,PROD-00060,Tecnologia,5,1467.59,7337.95,1024.45,6313.5,efectivo,2026-05-13 15:51:34.606876
VEN-0000100,CLI-009337,PROD-00311,Deportes,1,1225.2,1225.2,28.78,1196.42,yape,2026-05-13 15:47:02.314117
VEN-0000101,CLI-006007,PROD-00492,Hogar,2,3926.43,7852.86,985.32,6867.54,efectivo,2026-05-13 15:52:41.442266
VEN-0000102,CLI-008322,PROD-00381,Deportes,5,4767.26,23836.3,1287.25,22549.05,plin,2026-05-13 15:49:32.903949
VEN-0000103,CLI-000262,PROD-00340,Electronica,1,1410.03,1410.03,68.7,1341.33,plin,2026-05-13 15:47:18.887316
VEN-0000104,CLI-007474,PROD-00012,Ropa,1,4029.58,4029.58,32.63,3996.95,yape,2026-05-13 15:47:21.764149
VEN-0000105,CLI-002726,PROD-00385,Ropa,4,4094.0,16376.0,2327.84,14048.16,efectivo,2026-05-13 15:52:32.357339
VEN-0000106,CLI-000808,PROD-00290,Deportes,3,4435.95,13307.85,24.49,13283.36,yape,2026-05-13 15:51:49.137570
VEN-0000107,CLI-006731,PROD-00438,Tecnologia,3,1255.41,3766.23,209.39,3556.84,yape,2026-05-13 15:49:12.887198
VEN-0000108,CLI-005454,PROD-00251,Hogar,4,2578.13,10312.52,703.02,9609.5,plin,2026-05-13 15:52:44.745193
VEN-0000109,CLI-007417,PROD-00435,Deportes,5,1770.71,8853.55,1034.17,7819.38,yape,2026-05-13 15:50:32.865432
VEN-0000110,CLI-006098,PROD-00173,Tecnologia,4,871.01,3484.04,474.93,3009.11,yape,2026-05-13 15:48:21.574025
VEN-0000111,CLI-000750,PROD-00312,Deportes,3,3458.47,10375.41,647.88,9727.53,efectivo,2026-05-13 15:52:17.920411
VEN-0000112,CLI-001511,PROD-00148,Deportes,5,3542.2,17711.0,283.93,17427.07,yape,2026-05-13 15:47:05.115537
VEN-0000113,CLI-006078,PROD-00044,Tecnologia,2,1308.98,2617.96,351.67,2266.29,yape,2026-05-13 15:50:29.205244
VEN-0000114,CLI-008077,PROD-00276,Hogar,1,1138.77,1138.77,159.67,979.1,tarjeta,2026-05-13 15:47:56.662530
VEN-0000115,CLI-005344,PROD-00056,Tecnologia,2,2879.93,5759.86,156.92,5602.94,plin,2026-05-13 15:51:35.726272
VEN-0000116,CLI-005580,PROD-00453,Ropa,1,1055.5,1055.5,86.09,969.41,tarjeta,2026-05-13 15:48:40.399538
VEN-0000117,CLI-007986,PROD-00320,Tecnologia,5,2337.8,11689.0,1488.13,10200.87,tarjeta,2026-05-13 15:48:48.725719
VEN-0000118,CLI-005742,PROD-00156,Tecnologia,3,3517.7,10553.1,1294.41,9258.69,tarjeta,2026-05-13 15:52:25.814692
VEN-0000119,CLI-001177,PROD-00413,Electronica,4,552.81,2211.24,67.12,2144.12,tarjeta,2026-05-13 15:51:52.550182
VEN-0000120,CLI-008980,PROD-00298,Tecnologia,4,4133.24,16532.96,1226.57,15306.39,plin,2026-05-13 15:50:39.431540
VEN-0000121,CLI-001881,PROD-00344,Tecnologia,1,2926.88,2926.88,6.44,2920.44,plin,2026-05-13 15:51:23.636567
VEN-0000122,CLI-000023,PROD-00290,Deportes,1,4435.95,4435.95,615.72,3820.23,plin,2026-05-13 15:47:41.851858
VEN-0000123,CLI-009459,PROD-00383,Ropa,4,1269.55,5078.2,513.7,4564.5,tarjeta,2026-05-13 15:49:01.840833
VEN-0000124,CLI-005058,PROD-00121,Ropa,2,307.0,614.0,6.83,607.17,efectivo,2026-05-13 15:48:58.461854
VEN-0000125,CLI-008591,PROD-00430,Electronica,3,4592.4,13777.2,1229.43,12547.77,plin,2026-05-13 15:47:22.010353
VEN-0000126,CLI-006506,PROD-00225,Tecnologia,1,2096.85,2096.85,151.36,1945.49,tarjeta,2026-05-13 15:48:29.266789
VEN-0000127,CLI-008706,PROD-00073,Hogar,2,2179.37,4358.74,36.07,4322.67,efectivo,2026-05-13 15:49:39.845548
VEN-0000128,CLI-003663,PROD-00089,Electronica,2,2645.71,5291.42,191.61,5099.81,efectivo,2026-05-13 15:52:15.510118
VEN-0000129,CLI-001811,PROD-00332,Ropa,3,441.07,1323.21,150.09,1173.12,tarjeta,2026-05-13 15:49:30.744437
VEN-0000130,CLI-006749,PROD-00346,Ropa,3,1156.91,3470.73,115.9,3354.83,efectivo,2026-05-13 15:49:23.427252
VEN-0000131,CLI-006095,PROD-00498,Hogar,1,2342.24,2342.24,130.79,2211.45,plin,2026-05-13 15:52:12.326419
VEN-0000132,CLI-005656,PROD-00101,Electronica,5,3912.07,19560.35,417.11,19143.24,yape,2026-05-13 15:50:34.324042
VEN-0000133,CLI-004464,PROD-00461,Deportes,2,3069.1,6138.2,195.86,5942.34,yape,2026-05-13 15:50:17.870502
VEN-0000134,CLI-006145,PROD-00461,Deportes,3,3069.1,9207.3,699.9,8507.4,efectivo,2026-05-13 15:50:58.507883
VEN-0000135,CLI-009124,PROD-00277,Hogar,2,1874.3,3748.6,54.89,3693.71,tarjeta,2026-05-13 15:51:35.609003
VEN-0000136,CLI-006341,PROD-00386,Tecnologia,5,2748.64,13743.2,207.46,13535.74,yape,2026-05-13 15:47:10.677075
VEN-0000137,CLI-000366,PROD-00090,Ropa,3,4084.44,12253.32,1109.04,11144.28,plin,2026-05-13 15:47:49.404310
VEN-0000138,CLI-002983,PROD-00500,Electronica,2,1847.89,3695.78,427.4,3268.38,plin,2026-05-13 15:52:32.279164
VEN-0000139,CLI-005797,PROD-00359,Electronica,1,710.66,710.66,15.38,695.28,yape,2026-05-13 15:52:28.899161
VEN-0000140,CLI-008976,PROD-00428,Electronica,5,451.24,2256.2,79.98,2176.22,plin,2026-05-13 15:51:28.333677
VEN-0000141,CLI-006925,PROD-00371,Electronica,2,1228.41,2456.82,283.32,2173.5,yape,2026-05-13 15:47:01.497196
VEN-0000142,CLI-002582,PROD-00151,Ropa,5,2307.15,11535.75,1611.36,9924.39,tarjeta,2026-05-13 15:47:36.013273
VEN-0000143,CLI-002401,PROD-00205,Ropa,4,3377.1,13508.4,1155.45,12352.95,tarjeta,2026-05-13 15:49:04.579308
VEN-0000144,CLI-002611,PROD-00231,Ropa,1,1750.11,1750.11,60.38,1689.73,efectivo,2026-05-13 15:50:13.681156
VEN-0000145,CLI-001096,PROD-00401,Ropa,5,3694.74,18473.7,1146.87,17326.83,plin,2026-05-13 15:50:32.708325
VEN-0000146,CLI-002659,PROD-00059,Tecnologia,2,673.46,1346.92,196.78,1150.14,efectivo,2026-05-13 15:50:29.542629
VEN-0000147,CLI-006435,PROD-00036,Tecnologia,5,4804.14,24020.7,1523.2,22497.5,tarjeta,2026-05-13 15:52:21.379694
VEN-0000148,CLI-003242,PROD-00412,Ropa,5,4320.69,21603.45,666.55,20936.9,plin,2026-05-13 15:52:06.696661
VEN-0000149,CLI-005838,PROD-00486,Tecnologia,1,3388.55,3388.55,499.63,2888.92,plin,2026-05-13 15:51:04.773211
VEN-0000150,CLI-001848,PROD-00243,Tecnologia,2,1638.99,3277.98,479.71,2798.27,tarjeta,2026-05-13 15:51:07.522892
VEN-0000151,CLI-009603,PROD-00473,Ropa,1,31.11,31.11,0.37,30.74,efectivo,2026-05-13 15:47:03.690228
VEN-0000152,CLI-008419,PROD-00249,Electronica,2,2329.77,4659.54,697.08,3962.46,tarjeta,2026-05-13 15:47:55.548178
VEN-0000153,CLI-007694,PROD-00396,Ropa,5,206.49,1032.45,65.63,966.82,tarjeta,2026-05-13 15:47:42.348868
VEN-0000154,CLI-006042,PROD-00346,Ropa,1,1156.91,1156.91,123.49,1033.42,tarjeta,2026-05-13 15:47:48.559645
VEN-0000155,CLI-008213,PROD-00316,Hogar,4,3848.56,15394.24,1735.24,13659.0,plin,2026-05-13 15:48:38.015897
VEN-0000156,CLI-002364,PROD-00494,Hogar,1,1363.3,1363.3,164.94,1198.36,yape,2026-05-13 15:49:38.352987
VEN-0000157,CLI-005824,PROD-00323,Tecnologia,3,150.96,452.88,5.48,447.4,yape,2026-05-13 15:51:13.470608
VEN-0000158,CLI-006499,PROD-00483,Deportes,5,203.23,1016.15,27.67,988.48,tarjeta,2026-05-13 15:48:04.792163
VEN-0000159,CLI-006111,PROD-00470,Ropa,1,2711.07,2711.07,399.92,2311.15,efectivo,2026-05-13 15:46:54.582332
VEN-0000160,CLI-002435,PROD-00249,Electronica,5,2329.77,11648.85,1144.44,10504.41,tarjeta,2026-05-13 15:50:47.695418
VEN-0000161,CLI-001648,PROD-00444,Electronica,4,2064.25,8257.0,774.46,7482.54,yape,2026-05-13 15:49:38.462709
VEN-0000162,CLI-002662,PROD-00402,Tecnologia,5,2578.92,12894.6,276.01,12618.59,tarjeta,2026-05-13 15:48:48.888576
VEN-0000163,CLI-009444,PROD-00468,Ropa,1,2078.51,2078.51,280.16,1798.35,tarjeta,2026-05-13 15:50:08.493852
VEN-0000164,CLI-003708,PROD-00263,Hogar,1,3471.05,3471.05,418.8,3052.25,tarjeta,2026-05-13 15:47:02.843508
VEN-0000165,CLI-000767,PROD-00467,Ropa,4,3916.02,15664.08,881.14,14782.94,plin,2026-05-13 15:50:43.903152
VEN-0000166,CLI-007832,PROD-00270,Tecnologia,2,220.56,441.12,33.21,407.91,plin,2026-05-13 15:52:23.281492
VEN-0000167,CLI-005129,PROD-00181,Deportes,1,554.82,554.82,80.72,474.1,efectivo,2026-05-13 15:51:05.420278
VEN-0000168,CLI-006541,PROD-00438,Tecnologia,1,1255.41,1255.41,133.84,1121.57,efectivo,2026-05-13 15:47:11.838637
VEN-0000169,CLI-007273,PROD-00449,Tecnologia,2,922.78,1845.56,105.82,1739.74,efectivo,2026-05-13 15:50:03.425554
VEN-0000170,CLI-006197,PROD-00250,Deportes,2,2550.01,5100.02,452.8,4647.22,plin,2026-05-13 15:49:29.835054
VEN-0000171,CLI-007805,PROD-00214,Deportes,5,4259.63,21298.15,2300.84,18997.31,yape,2026-05-13 15:51:54.066045
VEN-0000172,CLI-009478,PROD-00049,Deportes,1,748.87,748.87,0.76,748.11,plin,2026-05-13 15:49:12.538534
VEN-0000173,CLI-008828,PROD-00294,Deportes,5,3050.53,15252.65,1252.2,14000.45,yape,2026-05-13 15:51:44.260299
VEN-0000174,CLI-006458,PROD-00226,Tecnologia,4,2804.6,11218.4,885.94,10332.46,yape,2026-05-13 15:48:59.163271
VEN-0000175,CLI-000049,PROD-00489,Tecnologia,5,841.65,4208.25,575.32,3632.93,plin,2026-05-13 15:49:33.073163
VEN-0000176,CLI-005160,PROD-00189,Ropa,2,1341.21,2682.42,51.22,2631.2,yape,2026-05-13 15:47:27.800755
VEN-0000177,CLI-002429,PROD-00219,Ropa,2,3121.67,6243.34,187.65,6055.69,efectivo,2026-05-13 15:52:42.298937
VEN-0000178,CLI-003220,PROD-00310,Ropa,5,3591.84,17959.2,1812.59,16146.61,tarjeta,2026-05-13 15:51:17.072231
VEN-0000179,CLI-009900,PROD-00446,Ropa,1,1609.42,1609.42,204.8,1404.62,tarjeta,2026-05-13 15:50:32.516222
VEN-0000180,CLI-007155,PROD-00287,Electronica,2,2743.58,5487.16,359.42,5127.74,efectivo,2026-05-13 15:49:50.724973
VEN-0000181,CLI-002206,PROD-00157,Electronica,5,3202.8,16014.0,132.07,15881.93,tarjeta,2026-05-13 15:48:54.758122
VEN-0000182,CLI-003317,PROD-00498,Hogar,4,2342.24,9368.96,601.12,8767.84,yape,2026-05-13 15:49:07.289390
VEN-0000183,CLI-005190,PROD-00401,Ropa,5,3694.74,18473.7,1307.18,17166.52,plin,2026-05-13 15:52:22.456615
VEN-0000184,CLI-005911,PROD-00494,Hogar,2,1363.3,2726.6,19.09,2707.51,plin,2026-05-13 15:48:58.313042
VEN-0000185,CLI-008435,PROD-00025,Tecnologia,4,1138.13,4552.52,419.42,4133.1,tarjeta,2026-05-13 15:50:12.838696
VEN-0000186,CLI-006465,PROD-00439,Ropa,2,4756.92,9513.84,98.89,9414.95,efectivo,2026-05-13 15:51:09.251342
VEN-0000187,CLI-007733,PROD-00432,Electronica,3,122.55,367.65,48.46,319.19,plin,2026-05-13 15:52:44.432248
VEN-0000188,CLI-000373,PROD-00446,Ropa,5,1609.42,8047.1,281.28,7765.82,efectivo,2026-05-13 15:47:18.287297
VEN-0000189,CLI-009041,PROD-00168,Hogar,2,827.81,1655.62,240.97,1414.65,yape,2026-05-13 15:49:43.042598
VEN-0000190,CLI-007346,PROD-00328,Electronica,1,4012.65,4012.65,306.36,3706.29,yape,2026-05-13 15:47:22.472418
VEN-0000191,CLI-004028,PROD-00334,Tecnologia,3,596.13,1788.39,4.45,1783.94,tarjeta,2026-05-13 15:51:59.400434
VEN-0000192,CLI-000538,PROD-00009,Electronica,5,2259.28,11296.4,400.21,10896.19,tarjeta,2026-05-13 15:51:52.946506
VEN-0000193,CLI-002019,PROD-00484,Tecnologia,2,3684.08,7368.16,89.03,7279.13,plin,2026-05-13 15:52:45.569252
VEN-0000194,CLI-007194,PROD-00174,Electronica,5,914.52,4572.6,471.73,4100.87,efectivo,2026-05-13 15:47:08.188469
VEN-0000195,CLI-001843,PROD-00083,Hogar,5,1962.06,9810.3,29.6,9780.7,tarjeta,2026-05-13 15:48:12.306774
VEN-0000196,CLI-005479,PROD-00441,Ropa,4,1305.47,5221.88,158.37,5063.51,tarjeta,2026-05-13 15:52:33.985788
VEN-0000197,CLI-006055,PROD-00392,Hogar,5,3089.77,15448.85,2063.23,13385.62,efectivo,2026-05-13 15:51:15.396131
VEN-0000198,CLI-003239,PROD-00208,Tecnologia,4,2593.12,10372.48,4.09,10368.39,tarjeta,2026-05-13 15:52:34.971644
VEN-0000199,CLI-002098,PROD-00316,Hogar,5,3848.56,19242.8,1426.84,17815.96,yape,2026-05-13 15:49:03.909861
VEN-0000200,CLI-002231,PROD-00182,Electronica,3,1918.37,5755.11,797.52,4957.59,efectivo,2026-05-13 15:49:42.744582
VEN-0000201,CLI-001768,PROD-00494,Hogar,4,1363.3,5453.2,257.8,5195.4,efectivo,2026-05-13 15:50:13.318276
VEN-0000202,CLI-007351,PROD-00087,Deportes,4,1452.6,5810.4,502.44,5307.96,tarjeta,2026-05-13 15:47:57.170754
