evento_id,venta_id,categoria,metodo_pago,ciudad,total,riesgo_fraude
EVT-000065,VEN-0012038,Hogar,efectivo,Trujillo,4919.32,0.74
EVT-000108,VEN-0017772,Deportes,yape,Lima,3180.73,0.74
EVT-000153,VEN-0026821,Hogar,plin,Lima,3470.84,0.74
EVT-000194,VEN-0041105,Deportes,plin,Piura,7714.35,0.74
EVT-000227,VEN-0030195,Electronica,yape,Trujillo,6209.96,0.74
EVT-000238,VEN-0040609,Hogar,efectivo,Arequipa,13472.81,0.74
EVT-000287,VEN-0033332,Hogar,tarjeta,Lima,8910.39,0.74
EVT-000334,VEN-0018172,Tecnologia,efectivo,Piura,3258.75,0.74
EVT-000466,VEN-0047343,Hogar,tarjeta,Trujillo,7708.84,0.74
EVT-000518,VEN-0001913,Hogar,plin,Trujillo,13246.45,0.74
EVT-000087,VEN-0024527,Electronica,yape,Arequipa,11655.54,0.73
EVT-000099,VEN-0039713,Electronica,tarjeta,Lima,4337.0,0.73
EVT-000204,VEN-0029178,Hogar,tarjeta,Arequipa,18433.48,0.73
EVT-000273,VEN-0009513,Deportes,efectivo,Piura,13328.39,0.73
EVT-000280,VEN-0019619,Deportes,plin,Lima,4981.86,0.73
EVT-000413,VEN-0024104,Electronica,tarjeta,Cusco,7365.29,0.73
EVT-000456,VEN-0016017,Ropa,yape,Arequipa,9520.61,0.73
EVT-000520,VEN-0007624,Tecnologia,yape,Piura,20590.46,0.73
EVT-000536,VEN-0001637,Ropa,tarjeta,Lima,11923.17,0.73
EVT-000558,VEN-0008941,Deportes,yape,Cusco,13487.88,0.73
EVT-000589,VEN-0045283,Tecnologia,efectivo,Piura,11888.72,0.73
EVT-000023,VEN-0021875,Electronica,tarjeta,Piura,15350.57,0.72
EVT-000080,VEN-0021109,Tecnologia,tarjeta,Lima,12279.18,0.72
EVT-000081,VEN-0002586,Deportes,plin,Trujillo,7802.95,0.72
EVT-000096,VEN-0042189,Deportes,yape,Cusco,10841.96,0.72
EVT-000097,VEN-0013388,Electronica,yape,Lima,10385.21,0.72
EVT-000100,VEN-0000478,Ropa,tarjeta,Trujillo,20028.84,0.72
EVT-000118,VEN-0046970,Hogar,plin,Cusco,18387.23,0.72
EVT-000186,VEN-0033410,Electronica,tarjeta,Cusco,10001.48,0.72
EVT-000416,VEN-0003105,Electronica,tarjeta,Trujillo,4772.85,0.72
EVT-000423,VEN-0021729,Hogar,tarjeta,Cusco,3053.06,0.72
EVT-000500,VEN-0030344,Ropa,tarjeta,Arequipa,8012.36,0.72
EVT-000506,VEN-0002371,Electronica,efectivo,Piura,4001.22,0.72
EVT-000559,VEN-0007909,Hogar,efectivo,Cusco,8360.16,0.72
EVT-000030,VEN-0017898,Tecnologia,yape,Cusco,13810.41,0.71
EVT-000047,VEN-0021451,Deportes,yape,Arequipa,7943.53,0.71
EVT-000132,VEN-0014542,Tecnologia,efectivo,Cusco,5888.25,0.71
EVT-000143,VEN-0030250,Deportes,tarjeta,Arequipa,5665.53,0.71
EVT-000248,VEN-0002660,Ropa,yape,Piura,6448.77,0.71
EVT-000364,VEN-0023432,Electronica,tarjeta,Arequipa,16623.1,0.71
EVT-000422,VEN-0029286,Hogar,plin,Piura,3359.0,0.71
EVT-000427,VEN-0036371,Hogar,plin,Piura,11180.1,0.71
EVT-000434,VEN-0018629,Deportes,plin,Trujillo,7352.64,0.71
EVT-000473,VEN-0040772,Ropa,efectivo,Cusco,4398.67,0.71
EVT-000496,VEN-0049719,Electronica,plin,Piura,3241.05,0.71
EVT-000521,VEN-0018744,Tecnologia,tarjeta,Trujillo,6465.08,0.71
EVT-000567,VEN-0047898,Tecnologia,yape,Lima,11637.9,0.71
EVT-000010,VEN-0006883,Tecnologia,efectivo,Arequipa,3080.5,0.7
EVT-000064,VEN-0027083,Tecnologia,plin,Piura,5259.01,0.7
EVT-000101,VEN-0015793,Hogar,plin,Piura,15879.31,0.7
EVT-000111,VEN-0030139,Hogar,efectivo,Cusco,7497.87,0.7
EVT-000157,VEN-0018306,Electronica,yape,Cusco,6283.39,0.7
EVT-000350,VEN-0016873,Deportes,efectivo,Cusco,10488.73,0.7
EVT-000481,VEN-0017560,Ropa,plin,Trujillo,9966.12,0.7
EVT-000561,VEN-0040426,Electronica,efectivo,Piura,9111.48,0.7
EVT-000572,VEN-0013455,Electronica,yape,Lima,7840.44,0.7
